iter	Logloss
0	0.6756770282
1	0.6588130399
2	0.6454511797
3	0.6340191265
4	0.6253392872
5	0.6156765385
6	0.6071171002
7	0.5990680163
8	0.5936496862
9	0.5852865568
10	0.5799384401
11	0.571060117
12	0.5642960623
13	0.558988505
14	0.5487892239
15	0.5433263043
16	0.5395276739
17	0.5328973805
18	0.5288645475
19	0.5237924761
20	0.5166850481
21	0.5098361556
22	0.5045248678
23	0.5015029662
24	0.4986692463
25	0.4943692052
26	0.491625813
27	0.4892730591
28	0.4854336237
29	0.4806516856
30	0.478698728
31	0.4770938094
32	0.4748106759
33	0.4706912178
34	0.4684418215
35	0.465355881
36	0.4600335626
37	0.4530240157
38	0.4491403105
39	0.444946533
40	0.4397489634
41	0.4347525122
42	0.430359792
43	0.4270162107
44	0.423921437
45	0.4230694788
46	0.4201685758
47	0.4163979882
48	0.4132778022
49	0.4095958139
50	0.4042844053
51	0.4016181754
52	0.3971946506
53	0.3947326428
54	0.3929035807
55	0.3892091465
56	0.3866623435
57	0.383839571
58	0.3813347846
59	0.3791564944
60	0.376575965
61	0.3727541138
62	0.3703785172
63	0.3680085198
64	0.3656744824
65	0.3635243114
66	0.3615682173
67	0.3582892064
68	0.3554674775
69	0.3541291046
70	0.3530159186
71	0.3498839966
72	0.3485017372
73	0.3469282147
74	0.3449324782
75	0.3427851643
76	0.3399658084
77	0.3373762722
78	0.3354652662
79	0.3333078933
80	0.3309378876
81	0.3294957959
82	0.3278964313
83	0.3241589189
84	0.3223443096
85	0.3193026997
86	0.3155333328
87	0.3133806148
88	0.3103955641
89	0.3080893171
90	0.3050675972
91	0.3036407848
92	0.3018650847
93	0.2997335055
94	0.2974864242
95	0.2954014413
96	0.2932873837
97	0.2915439649
98	0.2895821514
99	0.2884972139
100	0.286746449
101	0.2852749889
102	0.2824799098
103	0.281334446
104	0.2784219529
105	0.2770141434
106	0.2744988247
107	0.2733600449
108	0.271783048
109	0.2695109486
110	0.268441198
111	0.2665022667
112	0.2649529062
113	0.2635933614
114	0.2621197832
115	0.2609751253
116	0.2594649744
117	0.2575406885
118	0.2564638161
119	0.2545123746
120	0.2531980664
121	0.2519599717
122	0.2503790415
123	0.2481369155
124	0.2471755544
125	0.2459158237
126	0.2440291801
127	0.2428280338
128	0.2417905571
129	0.2391608956
130	0.2379648258
131	0.2369787509
132	0.2352014607
133	0.2333906654
134	0.2313862573
135	0.2296237151
136	0.2287974982
137	0.2269503601
138	0.2260322895
139	0.2242360954
140	0.2227189188
141	0.2213038829
142	0.2192042859
143	0.2176459548
144	0.2157581807
145	0.2134364339
146	0.2125746662
147	0.2111741584
148	0.2096720685
149	0.2079580753
150	0.206851744
151	0.2058827986
152	0.2037884556
153	0.202738443
154	0.2004312501
155	0.1995434449
156	0.1983785221
157	0.1975047045
158	0.1970095548
159	0.1953212588
160	0.1943970297
161	0.193671996
162	0.1924084852
163	0.1906886805
164	0.1897962043
165	0.1890766229
166	0.1883121672
167	0.187441373
168	0.1866711985
169	0.1857305174
170	0.1851586259
171	0.1838617832
172	0.1829951011
173	0.1817595703
174	0.18085049
175	0.1799475667
176	0.1788853997
177	0.1772532434
178	0.1761597326
179	0.175568406
180	0.174901488
181	0.1733342676
182	0.1725901049
183	0.1717341177
184	0.1706526132
185	0.1692838189
186	0.1681046466
187	0.1672729756
188	0.1666665712
189	0.1659444636
190	0.1653647533
191	0.163870188
192	0.1631288319
193	0.1620220488
194	0.1610351519
195	0.1606263315
196	0.1598672236
197	0.1588350312
198	0.157591321
199	0.1563115471
200	0.1555455759
201	0.1547960134
202	0.1536895633
203	0.1522038203
204	0.1511587313
205	0.150130891
206	0.1494980646
207	0.1485150328
208	0.1475991952
209	0.147083712
210	0.1460364875
211	0.1452777537
212	0.1445100902
213	0.1434931929
214	0.1424721226
215	0.1408226359
216	0.1400080889
217	0.1389914073
218	0.1383678857
219	0.1377523727
220	0.1370588814
221	0.1361708901
222	0.1356813198
223	0.1349759707
224	0.1340133961
225	0.1335424553
226	0.1324087214
227	0.1313099743
228	0.1309399416
229	0.1301578185
230	0.1296393691
231	0.1286247925
232	0.1276038931
233	0.1265265782
234	0.1254680263
235	0.1246430845
236	0.123675643
237	0.1233033257
238	0.1225844959
239	0.1219369258
240	0.1213541371
241	0.1208779883
242	0.1202378119
243	0.1193425093
244	0.1186828125
245	0.1182446134
246	0.1174955643
247	0.1167834599
248	0.1158926067
249	0.1152858895
250	0.1145302165
251	0.1136948287
252	0.1130378149
253	0.1123807217
254	0.1117588262
255	0.1109142468
256	0.1105412038
257	0.1098001049
258	0.1087770313
259	0.108285059
260	0.1077140303
261	0.1073878885
262	0.1069803076
263	0.1063274071
264	0.1056616688
265	0.1046938574
266	0.1043376641
267	0.103706979
268	0.1030179768
269	0.1022172493
270	0.1016505951
271	0.1009966677
272	0.1006050466
273	0.1001204607
274	0.09984411087
275	0.09967032291
276	0.09923851485
277	0.09848032952
278	0.09770723982
279	0.0967737183
280	0.09624933552
281	0.09594094959
282	0.09563910885
283	0.09536029151
284	0.09467906948
285	0.09427871768
286	0.09393088638
287	0.09348777278
288	0.0928456918
289	0.09238851529
290	0.09200192734
291	0.09150951095
292	0.09121595505
293	0.09058418146
294	0.09013153916
295	0.08931604575
296	0.08866100662
297	0.08831819868
298	0.08795191476
299	0.0876439531
300	0.08732200938
301	0.08691553274
302	0.08649181888
303	0.0860092734
304	0.08577271344
305	0.08549247584
306	0.08511486646
307	0.08485502656
308	0.08441994261
309	0.08400673367
310	0.08360001381
311	0.08313144376
312	0.08268911442
313	0.08242491529
314	0.0818324612
315	0.08155563025
316	0.08118934438
317	0.08088410977
318	0.08049485651
319	0.08016725756
320	0.07948207991
321	0.07907447421
322	0.07875100621
323	0.07836617411
324	0.07803184955
325	0.07777772355
326	0.07731048786
327	0.07681831119
328	0.07650662331
329	0.07617965034
330	0.07562350243
331	0.07494943481
332	0.07463604286
333	0.07425183899
334	0.07372503997
335	0.07335574055
336	0.07309367513
337	0.07260548781
338	0.07223655941
339	0.07205583255
340	0.0716817225
341	0.07139437401
342	0.07110411786
343	0.07070111687
344	0.07046705899
345	0.07018436322
346	0.06977436859
347	0.06934969491
348	0.06886868683
349	0.06865128087
350	0.06843703553
351	0.06809573797
352	0.06778054083
353	0.06762957077
354	0.06725514401
355	0.06698738174
356	0.06659536614
357	0.06612956882
358	0.06580047071
359	0.06565306908
360	0.06538335021
361	0.0651598851
362	0.0646797966
363	0.0644022769
364	0.0642660206
365	0.06380401155
366	0.06353343797
367	0.06330420007
368	0.06291917751
369	0.06254737388
370	0.06236080687
371	0.06194448171
372	0.06170193775
373	0.06154011667
374	0.06125248753
375	0.06099262562
376	0.06061056156
377	0.06034551376
378	0.0600419165
379	0.05979158354
380	0.05954645194
381	0.05934260574
382	0.05912080822
383	0.05886710143
384	0.05854928711
385	0.05813018274
386	0.05782310529
387	0.05760649655
388	0.05729283308
389	0.05695019006
390	0.05660707308
391	0.05633524787
392	0.05615064242
393	0.05589407534
394	0.05567620221
395	0.05528888325
396	0.05502487915
