iter	Passed	Remaining
0	44	22449
1	85	21327
2	124	20705
3	161	20011
4	204	20200
5	249	20538
6	281	19835
7	325	20035
8	374	20445
9	411	20142
10	461	20504
11	507	20631
12	542	20324
13	581	20169
14	621	20090
15	665	20145
16	708	20130
17	747	20029
18	794	20101
19	839	20152
20	896	20445
21	938	20386
22	978	20290
23	1015	20133
24	1047	19898
25	1092	19915
26	1131	19827
27	1177	19854
28	1219	19798
29	1260	19747
30	1296	19611
31	1336	19552
32	1376	19484
33	1421	19481
34	1468	19507
35	1504	19385
36	1542	19305
37	1592	19360
38	1634	19318
39	1665	19149
40	1711	19160
41	1752	19105
42	1795	19086
43	1838	19049
44	1879	19006
45	1929	19045
46	1963	18924
47	2015	18979
48	2050	18876
49	2093	18838
50	2130	18757
51	2182	18805
52	2223	18755
53	2256	18637
54	2294	18568
55	2331	18483
56	2373	18442
57	2419	18437
58	2461	18395
59	2500	18336
60	2543	18304
61	2586	18273
62	2625	18214
63	2670	18196
64	2705	18106
65	2753	18106
66	2786	18008
67	2827	17960
68	2868	17916
69	2918	17926
70	2957	17870
71	2993	17792
72	3038	17771
73	3071	17682
74	3111	17629
75	3155	17603
76	3194	17547
77	3239	17524
78	3280	17482
79	3316	17413
80	3357	17368
81	3398	17324
82	3437	17271
83	3477	17219
84	3519	17183
85	3560	17139
86	3601	17099
87	3636	17027
88	3679	16992
89	3721	16955
90	3764	16920
91	3806	16881
92	3841	16809
93	3885	16781
94	3926	16739
95	3966	16694
96	4002	16629
97	4044	16591
98	4082	16536
99	4123	16493
100	4170	16474
101	4222	16474
102	4264	16437
103	4296	16360
104	4338	16322
105	4389	16314
106	4429	16268
107	4471	16229
108	4509	16175
109	4554	16148
110	4590	16088
111	4632	16048
112	4674	16009
113	4713	15960
114	4756	15923
115	4802	15896
116	4846	15864
117	4890	15832
118	4935	15800
119	4967	15729
120	5003	15672
121	5043	15626
122	5086	15591
123	5134	15568
124	5171	15515
125	5212	15472
126	5258	15444
127	5297	15395
128	5335	15345
129	5379	15311
130	5412	15245
131	5445	15182
132	5489	15147
133	5526	15094
134	5571	15062
135	5603	14997
136	5657	14989
137	5691	14928
138	5726	14872
139	5766	14826
140	5805	14782
141	5848	14745
142	5891	14707
143	5922	14641
144	5959	14590
145	5999	14547
146	6043	14513
147	6086	14475
148	6125	14429
149	6164	14383
150	6206	14344
151	6251	14312
152	6304	14297
153	6339	14243
154	6377	14194
155	6414	14144
156	6459	14113
157	6501	14073
158	6537	14021
159	6574	13970
160	6621	13942
161	6658	13892
162	6696	13845
163	6747	13824
164	6783	13772
165	6827	13737
166	6867	13694
167	6906	13649
168	6945	13603
169	6984	13558
170	7026	13519
171	7065	13473
172	7121	13460
173	7151	13397
174	7193	13359
175	7233	13316
176	7274	13274
177	7323	13248
178	7367	13212
179	7401	13157
180	7440	13112
181	7479	13068
182	7522	13031
183	7577	13013
184	7611	12960
185	7670	12948
186	7709	12904
187	7752	12865
188	7791	12820
189	7820	12759
190	7864	12722
191	7905	12681
192	7946	12639
193	7987	12598
194	8025	12553
195	8070	12517
196	8115	12481
197	8166	12456
198	8199	12402
199	8242	12363
200	8277	12312
201	8325	12281
202	8357	12227
203	8400	12188
204	8444	12151
205	8485	12109
206	8541	12090
207	8575	12038
208	8619	12001
209	8649	11944
210	8692	11906
211	8730	11860
212	8771	11819
213	8813	11778
214	8856	11740
215	8896	11697
216	8935	11653
217	8983	11621
218	9023	11578
219	9064	11536
220	9105	11495
221	9147	11455
222	9181	11404
223	9221	11361
224	9265	11324
225	9306	11283
226	9344	11238
227	9386	11197
228	9430	11160
229	9476	11124
230	9525	11092
231	9565	11049
232	9599	10999
233	9647	10966
234	9688	10925
235	9718	10871
236	9757	10828
237	9815	10804
238	9844	10751
239	9885	10709
240	9928	10669
241	9980	10640
242	10016	10594
243	10047	10541
244	10094	10506
245	10147	10477
246	10189	10436
247	10232	10397
248	10271	10353
249	10314	10314
250	10357	10275
251	10399	10234
252	10440	10192
253	10480	10150
254	10523	10111
255	10568	10072
256	10606	10028
257	10665	10003
258	10708	9964
259	10752	9925
260	10786	9877
261	10829	9837
262	10881	9805
263	10917	9759
